CHEM_ID,Original_ID,CHEMICAL_NAME,SUPER_PATHWAY,SUB_PATHWAY
,Glycolytic_Ratio,Glycolytic_Ratio,,
100001571.0,100001571,1-arachidonoyl-GPE (20:4n6)*,Lipid,Lysophospholipid
100001567.0,100001567,1-palmitoyl-GPE (16:0),Lipid,Lysophospholipid
100001994.0,100001994,"androstenediol (3beta,17beta) disulfate (2)",Lipid,Androgenic Steroids
100001468.0,100001468,N1-methyl-2-pyridone-5-carboxamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism
100008914.0,100008914,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),Lipid,Phosphatidylcholine (PC)
100002128.0,100002128,17alpha-hydroxypregnenolone 3-sulfate,Lipid,Pregnenolone Steroids
100001232.0,100001232,5-dodecenoate (12:1n7),Lipid,Medium Chain Fatty Acid
100002126.0,100002126,16alpha-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids
100001876.0,100001876,sphinganine-1-phosphate,Lipid,Sphingolipid Synthesis
100015792.0,100015792,"sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*",Lipid,Sphingomyelins
100000656.0,100000656,1-stearoyl-GPI (18:0),Lipid,Lysophospholipid
100015687.0,100015687,"phosphatidylethanolamine (P-18:1/20:4, P-16:0/22:5n3)*",Lipid,Phosphatidylethanolamine (PE)
100001654.0,100001654,1-arachidonoyl-GPI (20:4)*,Lipid,Lysophospholipid
100016069.0,100016069,5-dodecenoylcarnitine (C12:1),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"
100009036.0,100009036,1-margaroyl-2-oleoyl-GPC (17:0/18:1)*,Lipid,Phosphatidylcholine (PC)
100009141.0,100009141,1-stearoyl-2-docosapentaenoyl-GPC (18:0/22:5n3)*,Lipid,Phosphatidylcholine (PC)
100023220.0,100023220,isoallolithocholic acid,Lipid,Secondary Bile Acid Metabolism
100002007.0,100002007,"5alpha-androstan-3alpha,17alpha-diol disulfate",Lipid,Androgenic Steroids
100002152.0,100002152,andro steroid monosulfate C19H28O6S (1)*,Lipid,Androgenic Steroids
100020360.0,100020360,8-methoxykynurenate,Amino Acid,Tryptophan Metabolism
1242.0,1242,N1-methyladenosine,Nucleotide,"Purine Metabolism, Adenine containing"
100008904.0,100008904,1-stearoyl-2-oleoyl-GPC (18:0/18:1),Lipid,Phosphatidylcholine (PC)
100006361.0,100006361,dopamine 3-O-sulfate,Amino Acid,Tyrosine Metabolism
100004083.0,100004083,glycohyocholate,Lipid,Secondary Bile Acid Metabolism
1628.0,1628,glycochenodeoxycholate,Lipid,Primary Bile Acid Metabolism
565.0,565,tryptophan,Amino Acid,Tryptophan Metabolism
100001415.0,100001415,N6-carbamoylthreonyladenosine,Nucleotide,"Purine Metabolism, Adenine containing"
100020864.0,100020864,1-(14 or 15)-methylpalmitoyl-GPC (a17:0 or i17:0)*,Lipid,Lysophospholipid
1526.0,1526,1-palmitoyl-2-oleoyl-GPE (16:0/18:1),Lipid,Phosphatidylethanolamine (PE)
229.0,229,arachidonate (20:4n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6)
100001461.0,100001461,1-stearoyl-GPE (18:0),Lipid,Lysophospholipid
100006292.0,100006292,"sphingomyelin (d18:1/20:1, d18:2/20:0)*",Lipid,Sphingomyelins
100009026.0,100009026,behenoyl dihydrosphingomyelin (d18:0/22:0)*,Lipid,Dihydrosphingomyelins
100000781.0,100000781,hexanoylcarnitine (C6),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"
273.0,273,cortisone,Lipid,Corticosteroids
100001272.0,100001272,1-oleoyl-GPC (18:1),Lipid,Lysophospholipid
100006005.0,100006005,"5alpha-androstan-3alpha,17beta-diol monosulfate (2)",Lipid,Androgenic Steroids
302.0,302,deoxycholate,Lipid,Secondary Bile Acid Metabolism
182.0,182,quinolinate,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism
572.0,572,glucose,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"
100005986.0,100005986,"sphingomyelin (d18:1/24:1, d18:2/24:0)*",Lipid,Sphingomyelins
100001570.0,100001570,1-linoleoyl-GPE (18:2)*,Lipid,Lysophospholipid
100001658.0,100001658,taurolithocholate 3-sulfate,Lipid,Secondary Bile Acid Metabolism
100001384.0,100001384,1-arachidoyl-GPC (20:0),Lipid,Lysophospholipid
891.0,891,margarate (17:0),Lipid,Long Chain Saturated Fatty Acid
100001870.0,100001870,1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),Lipid,Phosphatidylethanolamine (PE)
100001569.0,100001569,1-oleoyl-GPE (18:1),Lipid,Lysophospholipid
100000445.0,100000445,theobromine,Xenobiotics,Xanthine Metabolism
100009142.0,100009142,1-stearoyl-2-docosapentaenoyl-GPC (18:0/22:5n6)*,Lipid,Phosphatidylcholine (PC)
100001776.0,100001776,2-linoleoyl-GPE (18:2)*,Lipid,Lysophospholipid
132.0,132,3-phosphoglycerate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"
100006726.0,100006726,linoleoyl ethanolamide (18:2),Lipid,Endocannabinoid
100001652.0,100001652,2-palmitoyl-GPE (16:0)*,Lipid,Lysophospholipid
100001778.0,100001778,1-linoleoyl-GPI (18:2)*,Lipid,Lysophospholipid
100001108.0,100001108,3-methylxanthine,Xenobiotics,Xanthine Metabolism
1547.0,1547,N-stearoyl-sphingosine (d18:1/18:0)*,Lipid,Ceramides
452.0,452,palmitoleate (16:1n7),Lipid,Long Chain Monounsaturated Fatty Acid
100005985.0,100005985,"sphingomyelin (d18:2/14:0, d18:1/14:1)*",Lipid,Sphingomyelins
100001278.0,100001278,heptadecenoate (17:1),Lipid,Long Chain Monounsaturated Fatty Acid
100002761.0,100002761,androsterone glucuronide,Lipid,Androgenic Steroids
100002017.0,100002017,"5alpha-androstan-3alpha,17beta-diol disulfate",Lipid,Androgenic Steroids
100015689.0,100015689,1-palmitoyl-2-(hydroxylinoleoyl)-GPC (16:0/18:2(OH))*,Lipid,Phosphatidylcholine (PC)
100009126.0,100009126,1-arachidoyl-2-arachidonoyl-GPC (20:0/20:4)*,Lipid,Phosphatidylcholine (PC)
100002060.0,100002060,1-docosahexaenoyl-GPE (22:6)*,Lipid,Lysophospholipid
100021131.0,100021131,undecenoylcarnitine (C11:1),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"
100021136.0,100021136,3-decenoylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"
439.0,439,stearate (18:0),Lipid,Long Chain Saturated Fatty Acid
100006296.0,100006296,"sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*",Lipid,Sphingomyelins
100009264.0,100009264,glycochenodeoxycholate glucuronide (1),Lipid,Primary Bile Acid Metabolism
1537.0,1537,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),Lipid,Phosphatidylcholine (PC)
926.0,926,caproate (6:0),Lipid,Medium Chain Fatty Acid
100008921.0,100008921,1-palmitoyl-2-stearoyl-GPC (16:0/18:0),Lipid,Phosphatidylcholine (PC)
100008990.0,100008990,1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,Lipid,Phosphatidylethanolamine (PE)
100020541.0,100020541,11beta-hydroxyandrosterone glucuronide,Lipid,Androgenic Steroids
100008976.0,100008976,1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,Lipid,Phosphatidylethanolamine (PE)
100002171.0,100002171,1-margaroyl-GPE (17:0)*,Lipid,Lysophospholipid
100001869.0,100001869,1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),Lipid,Phosphatidylcholine (PC)
424.0,424,palmitate (16:0),Lipid,Long Chain Saturated Fatty Acid
100001674.0,100001674,2-arachidonoyl-GPE (20:4)*,Lipid,Lysophospholipid
100009272.0,100009272,glycosyl-N-palmitoyl-sphingosine (d18:1/16:0),Lipid,Hexosylceramides (HCER)
100001251.0,100001251,decanoylcarnitine (C10),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"
100005673.0,100005673,1-docosapentaenoyl-GPC (22:5n6)*,Lipid,Lysophospholipid
297.0,297,sphingosine,Lipid,Sphingosines
100001198.0,100001198,myristoleate (14:1n5),Lipid,Long Chain Monounsaturated Fatty Acid
100002018.0,100002018,"5alpha-androstan-3alpha,17beta-diol monosulfate (1)",Lipid,Androgenic Steroids
100001399.0,100001399,"1,7-dimethylurate",Xenobiotics,Xanthine Metabolism
100005350.0,100005350,1-linolenoyl-GPC (18:3)*,Lipid,Lysophospholipid
100001402.0,100001402,5-acetylamino-6-formylamino-3-methyluracil,Xenobiotics,Xanthine Metabolism
100006314.0,100006314,"sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)*",Lipid,Sphingomyelins
100001247.0,100001247,octanoylcarnitine (C8),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"
100002027.0,100002027,"androstenediol (3alpha, 17alpha) monosulfate (3)",Lipid,Androgenic Steroids
100000453.0,100000453,paraxanthine,Xenobiotics,Xanthine Metabolism
100001992.0,100001992,"androstenediol (3beta,17beta) disulfate (1)",Lipid,Androgenic Steroids
1231.0,1231,dihomo-linoleate (20:2n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6)
100006379.0,100006379,C-glycosyltryptophan,Amino Acid,Tryptophan Metabolism
100009364.0,100009364,"phosphatidylcholine (18:0/20:2, 20:0/18:2)*",Lipid,Phosphatidylcholine (PC)
100006293.0,100006293,"sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*",Lipid,Sphingomyelins
100002873.0,100002873,1-lignoceroyl-GPC (24:0),Lipid,Lysophospholipid
1648.0,1648,taurocholate,Lipid,Primary Bile Acid Metabolism
171.0,171,hypoxanthine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing"
100001400.0,100001400,1-methylurate,Xenobiotics,Xanthine Metabolism
100020823.0,100020823,lithocholate sulfate (1),Lipid,Secondary Bile Acid Metabolism
100015789.0,100015789,sphingomyelin (d18:2/24:2)*,Lipid,Sphingomyelins
267.0,267,choline phosphate,Lipid,Phospholipid Metabolism
1134.0,1134,urate,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing"
330.0,330,fumarate,Energy,TCA Cycle
100010923.0,100010923,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,Lipid,Diacylglycerol
100010937.0,100010937,oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*,Lipid,Diacylglycerol
100009140.0,100009140,1-myristoyl-2-docosahexaenoyl-GPC (14:0/22:6)*,Lipid,Phosphatidylcholine (PC)
55.0,55,1-methylnicotinamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism
100009014.0,100009014,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*,Lipid,Plasmalogen
100000776.0,100000776,palmitoylcarnitine (C16),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"
100000437.0,100000437,theophylline,Xenobiotics,Xanthine Metabolism
100005352.0,100005352,1-eicosenoyl-GPC (20:1)*,Lipid,Lysophospholipid
100008957.0,100008957,"sphingomyelin (d18:2/24:1, d18:1/24:2)*",Lipid,Sphingomyelins
893.0,893,arachidate (20:0),Lipid,Long Chain Saturated Fatty Acid
100015788.0,100015788,"sphingomyelin (d18:2/18:1, d18:1/18:2)*",Lipid,Sphingomyelins
519.0,519,myristate (14:0),Lipid,Long Chain Saturated Fatty Acid
100001551.0,100001551,1-arachidonoyl-GPC (20:4n6)*,Lipid,Lysophospholipid
100003008.0,100003008,2-stearoyl-GPI (18:0)*,Lipid,Lysophospholipid
100005353.0,100005353,1-nonadecanoyl-GPC (19:0),Lipid,Lysophospholipid
100008954.0,100008954,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,Lipid,Dihydrosphingomyelins
100001856.0,100001856,1-stearoyl-2-oleoyl-GPE (18:0/18:1),Lipid,Phosphatidylethanolamine (PE)
100001655.0,100001655,1-palmitoyl-GPI (16:0),Lipid,Lysophospholipid
823.0,823,pyruvate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"
100009002.0,100009002,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,Lipid,Plasmalogen
100001392.0,100001392,laurylcarnitine (C12),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"
100001739.0,100001739,dihomo-linolenate (20:3n3 or n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6)
93.0,93,alpha-ketoglutarate,Energy,TCA Cycle
100001182.0,100001182,docosadienoate (22:2n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6)
100020542.0,100020542,11beta-hydroxyetiocholanolone glucuronide*,Lipid,Androgenic Steroids
100002173.0,100002173,1-pentadecanoyl-GPC (15:0)*,Lipid,Lysophospholipid
409.0,409,malate,Energy,TCA Cycle
1668.0,1668,taurodeoxycholate,Lipid,Secondary Bile Acid Metabolism
432.0,432,nicotinamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism
100021103.0,100021103,pregnenetriol sulfate*,Lipid,Pregnenolone Steroids
100003901.0,100003901,2-stearoyl-GPE (18:0)*,Lipid,Lysophospholipid
100001277.0,100001277,nonadecenoate (19:1),Lipid,Long Chain Monounsaturated Fatty Acid
100001553.0,100001553,1-dihomo-linoleoyl-GPC (20:2)*,Lipid,Lysophospholipid
100001989.0,100001989,glycocholenate sulfate*,Lipid,Secondary Bile Acid Metabolism
100001403.0,100001403,5-acetylamino-6-amino-3-methyluracil,Xenobiotics,Xanthine Metabolism
100009122.0,100009122,1-pentadecanoyl-2-arachidonoyl-GPC (15:0/20:4)*,Lipid,Phosphatidylcholine (PC)
100001254.0,100001254,N-acetyltryptophan,Amino Acid,Tryptophan Metabolism
100001287.0,100001287,epiandrosterone sulfate,Lipid,Androgenic Steroids
100000015.0,100000015,xanthurenate,Amino Acid,Tryptophan Metabolism
100009035.0,100009035,1-pentadecanoyl-2-linoleoyl-GPC (15:0/18:2)*,Lipid,Phosphatidylcholine (PC)
100005714.0,100005714,1-linolenoyl-GPE (18:3)*,Lipid,Lysophospholipid
100001397.0,100001397,"1,3,7-trimethylurate",Xenobiotics,Xanthine Metabolism
100009124.0,100009124,1-margaroyl-2-arachidonoyl-GPC (17:0/20:4)*,Lipid,Phosphatidylcholine (PC)
100015791.0,100015791,sphingomyelin (d18:2/23:1)*,Lipid,Sphingomyelins
849.0,849,caffeine,Xenobiotics,Xanthine Metabolism
100009406.0,100009406,palmitoleoylcarnitine (C16:1)*,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"
100009037.0,100009037,1-margaroyl-2-linoleoyl-GPC (17:0/18:2)*,Lipid,Phosphatidylcholine (PC)
100001271.0,100001271,1-stearoyl-GPC (18:0),Lipid,Lysophospholipid
100015623.0,100015623,lactosyl-N-behenoyl-sphingosine (d18:1/22:0)*,Lipid,Lactosylceramides (LCER)
252.0,252,succinate,Energy,TCA Cycle
1111.0,1111,vanillylmandelate (VMA),Amino Acid,Tyrosine Metabolism
100008903.0,100008903,"1,2-dilinoleoyl-GPC (18:2/18:2)",Lipid,Phosphatidylcholine (PC)
100001405.0,100001405,1-methylxanthine,Xenobiotics,Xanthine Metabolism
1256.0,1256,choline,Lipid,Phospholipid Metabolism
100009343.0,100009343,1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,Lipid,Phosphatidylcholine (PC)
100001103.0,100001103,"glutamate, gamma-methyl ester",Amino Acid,Glutamate Metabolism
100015594.0,100015594,1-stearoyl-2-adrenoyl-GPE (18:0/22:4)*,Lipid,Phosphatidylethanolamine (PE)
100015745.0,100015745,"glycosyl ceramide (d18:2/24:1, d18:1/24:2)*",Lipid,Hexosylceramides (HCER)
100008920.0,100008920,"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",Lipid,Sphingomyelins
,GABR,GABR,,
356.0,356,cortisol,Lipid,Corticosteroids
100008999.0,100008999,1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,Lipid,Plasmalogen
100004328.0,100004328,"sphingomyelin (d18:1/14:0, d16:1/16:0)*",Lipid,Sphingomyelins
100000792.0,100000792,dehydroepiandrosterone sulfate (DHEA-S),Lipid,Androgenic Steroids
100015793.0,100015793,"sphingomyelin (d17:2/16:0, d18:2/15:0)*",Lipid,Sphingomyelins
100000007.0,100000007,carnitine,Lipid,Carnitine Metabolism
100022127.0,100022127,tetrahydrocortisone glucuronide (5),Lipid,Corticosteroids
